id,name
"80,020",StudyDate
"80,021",SeriesDate
"80,022",AcquisitionDate
"80,023",ContentDate
"80,024",OverlayDate
"80,025",CurveDate
"0008,002A",AcquisitionDatetime
"80,030",StudyTime
"80,031",SeriesTime
"80,032",AcquisitionTime
"80,033",ContentTime
"80,034",OverlayTime
"80,035",CurveTime
"80,050",AccessionNumber
"80,080",InstitutionName
"80,081",InstitutionAddress
"80,090",ReferringPhysiciansName
"80,092",ReferringPhysiciansAddress
"80,094",ReferringPhysiciansTelephoneNumber
"80,096",ReferringPhysicianIDSequence
"81,040",InstitutionalDepartmentName
"81,048",PhysicianOfRecord
"81,049",PhysicianOfRecordIDSequence
"81,050",PerformingPhysiciansName
"81,052",PerformingPhysicianIDSequence
"81,060",NameOfPhysicianReadingStudy
"81,062",PhysicianReadingStudyIDSequence
"81,070",OperatorsName
"100,010",PatientsName
"100,020",PatientID
"100,021",IssuerOfPatientID
"100,030",PatientsBirthDate
"100,032",PatientsBirthTime
"100,040",PatientsSex
"101,000",OtherPatientIDs
"101,001",OtherPatientNames
"101,005",PatientsBirthName
"101,010",PatientsAge
"101,040",PatientsAddress
"101,060",PatientsMothersBirthName
"102,150",CountryOfResidence
"102,152",RegionOfResidence
"102,154",PatientsTelephoneNumbers
"200,010",StudyID
"380,300",CurrentPatientLocation
"380,400",PatientsInstitutionResidence
"0040,A120",DateTime
"0040,A121",Date
"0040,A122",Time
"0040,A123",PersonName
